ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"12069017","Beelitz, Mark",48.3,8.6,40.9,4.1,1227
"12069020","Bad Belzig",48.7,6.7,43.3,3.2,1423
"12069249","Groß Kreutz (Havel)",12,11.2,69,3.2,1292
"12069304","Kleinmachnow",27.2,64.6,4,15.1,378
"12069306","Kloster Lehnin",40.5,8.3,44.5,4,1522
"12069397","Michendorf",45.4,17.1,35.3,6.4,892
"12069454","Nuthetal",26.1,15.5,56.4,8.7,821
"12069590","Schwielowsee",57.5,16.2,10.1,5.5,883
"12069596","Seddiner See",57.8,17.8,12.7,8,937
"12069604","Stahnsdorf",23.4,25.8,43.9,7.7,831
"12069616","Teltow",7.2,45.8,42,10.8,368
"12069632","Treuenbrietzen",41.6,5.9,50.4,3.2,1667
"12069656","Werder (Havel)",16.7,15.3,52.4,4.6,677
"12069665","Wiesenburg/Mark",62.8,5.4,30.9,3.1,2791
"12069018","Beetzsee",17.1,12.5,61.1,3.4,1004
"12069019","Beetzseeheide",24.3,6,66,2.9,3326
"12069270","Havelsee",38.9,7.1,43.1,4.3,1768
"12069460","Päwesin",35.8,6.9,49.6,3.3,3290
"12069541","Roskow",3.6,6.3,83.7,2.9,2087
"12069052","Borkheide",62.3,35.5,1.8,9.2,1149
"12069056","Borkwalde",71.7,24.2,4.1,8.3,749
"12069076","Brück",36.9,7,48.6,3.2,1555
"12069216","Golzow, b Brandenburg an der Havel",29.4,7,62.5,4.1,2089
"12069345","Linthe",34.2,10.2,52.6,4.7,3371
"12069470","Planebruch",56.6,4.1,34,2.6,2590
"12069402","Mühlenfließ",31.9,5.9,61.4,3.8,3873
"12069448","Niemegk",42.6,8.6,46.7,4.4,1925
"12069474","Planetal",23.7,5.7,67.9,3.1,2677
"12069485","Rabenstein/Fläming",48.8,4.9,44.1,3.5,4847
"12069028","Bensdorf",35.9,6.6,54.1,3.7,1816
"12069537","Rosenau",23,5.1,70.7,3.1,2882
"12069688","Wusterwitz",35,12.4,46,5,976
"12069089","Buckautal",29.2,5,53.2,3,4061
"12069224","Görzke",55.7,3.8,33,2.2,2319
"12069232","Gräben",68.7,4.3,26.3,2.8,3378
"12069648","Wenzlow, b Brandenburg an der Havel",43,6.6,48.8,4.5,2564
"12069680","Wollin, b Brandenburg an der Havel",48.8,6.6,43.3,3.9,2191
"12069696","Ziesar",31.3,7.9,58.9,4.8,2138
"12070125","Groß Pankow (Prignitz)",23.6,5.6,69.4,3,3686
"12070149","Gumtow",18.7,5.1,74.4,2.6,3296
"12070173","Karstädt, Prignitz",19.8,6.3,72.1,3.1,2671
"12070296","Perleberg",31.4,12.6,54,4.5,1448
"12070302","Plattenburg",30.1,5.3,62.9,3,3280
"12070316","Pritzwalk",8.9,10.3,79.2,4.1,1449
"12070424","Wittenberge",9.2,22.3,58.3,6.3,666
"12070008","Bad Wilsnack",46.2,6.6,45.3,3.6,2076
"12070052","Breese",39.3,8.8,50.5,4.7,1396
"12070241","Legde/Quitzöbel",34.5,5.2,55,3.1,3606
