ags,kurz_name,wald_19_qm,sied_verk_19_qm,landwirt_19_qm,verkehr_19_qm,sied_verk_qm_ew_19
"01001000","Flensburg, krsfr. Stadt",6.5,54.2,20.3,14.3,319
"01002000","Kiel, krsfr. Stadt",5.2,54.5,29.1,14.5,262
"01003000","Lübeck, krsfr. Stadt",14.7,37.5,30.6,9.3,371
"01004000","Neumünster, krsfr. Stadt",4.3,51.4,38.3,10.1,459
"01051011","Brunsbüttel",0.1,22,45.5,5.7,1161
"01051044","Heide",5.5,34.7,53.4,8.6,507
"01051003","Averlak",4.1,7.1,74.5,2,1161
"01051010","Brickeln",9.5,10.9,76,6.8,3128
"01051012","Buchholz",6.2,8.5,77.3,3.7,1237
"01051016","Burg (Dithmarschen)",5.2,23.2,55,6.2,626
"01051022","Dingen",4.6,11.2,81.4,3.4,1257
"01051024","Eddelak",0.7,14.4,82.8,3.6,994
"01051026","Eggstedt",2.4,8.5,85.6,3.5,1436
"01051032","Frestedt",9.7,6.9,81,3.2,2047
"01051037","Großenrade",14.5,8.2,73.9,4,1874
"01051051","Hochdonn",9.6,20.6,54.2,6.3,1065
"01051064","Kuden",7.1,8.8,75,3.9,1657
"01051089","Quickborn",53.7,8.6,37.2,5.4,3143
"01051097","Sankt Michaelisdonn",5.6,20,70.8,6.8,1359
"01051110","Süderhastedt",6.3,8.1,83.1,3.9,1691
"01051021","Diekhusen-Fahrstedt",0.1,10.3,87.6,3.7,1126
"01051034","Friedrichskoog",0,8.6,74.2,3,1799
"01051046","Helse",1,10.5,86.1,3.9,1453
"01051057","Kaiser-Wilhelm-Koog",0,6.7,78.5,2.3,2500
"01051062","Kronprinzenkoog",0,6.7,82.5,2.7,2416
"01051072","Marne",0,62.4,35.9,10.9,507
"01051073","Marnerdeich",0,19.4,77.8,3.7,639
"01051076","Neufeld",0,9.1,89.2,3.7,1599
"01051077","Neufelderkoog",0,5.2,90.4,2.6,4265
"01051090","Ramhusen",0.6,7.9,88.8,3.3,2570
"01051103","Schmedeswurth",0.2,8.2,89.8,3.3,2721
"01051118","Trennewurth",0,7.5,90.3,3.1,2315
"01051119","Volsemenhusen",0,6.8,91.2,3.2,3466
"01051005","Barkenholm",0.8,6.8,81.3,2.6,2144
"01051008","Bergewöhrden",1.3,4.6,81.5,1.8,3353
"01051019","Dellstedt",0.8,6,77.5,2.8,1788
"01051020","Delve",0.3,6.8,75.2,3.1,1471
"01051023","Dörpling",1.2,10.5,69.3,3.9,1322
"01051030","Fedderingen",1.3,6.3,85.3,3.2,2170
"01051035","Gaushorn",8.3,9.4,73.7,3.2,3511
"01051036","Glüsing",4.6,10.2,80,4,4327
"01051038","Groven",0,6.1,88.3,2.8,5756
"01051047","Hemme",0.1,9.4,87.6,4.9,3151
"01051049","Hennstedt",1.9,14.9,73.4,3.4,1657
"01051052","Hövede",2.9,6.8,81.2,3.7,3344
"01051053","Hollingstedt",3.5,6.2,78.7,3.1,1991
"01051058","Karolinenkoog",0.1,4.1,67.9,2.3,5001
"01051060","Kleve, Dithmarschen",1,5.7,83.3,2.3,1867
"01051061","Krempel",1.9,11,75.6,3.6,875
"01051065","Lehe",0.1,7.3,85.8,2.5,1229
"01051068","Linden",2.8,10.2,83.5,3.8,1364
"01051071","Lunden",7.4,22,60.2,5.6,602
"01051080","Norderheistedt",0.5,6,92.1,2.7,1791
"01051088","Pahlen",0.8,13.1,75.9,3.9,1242
"01051092","Rehm-Flehde-Bargen",2.9,7.6,64,3.2,2148
"01051096","Sankt Annen",0.3,6.7,87.5,3.1,3057
"01051100","Schalkholz",3,8.3,76.4,3.7,1785
"01051102","Schlichting",0.7,6.6,89.7,3.2,3475
"01051114","Tellingstedt",1.8,12,77.8,4.2,949
"01051117","Tielenhemme",0.1,3.8,88.9,1.8,3002
"01051120","Wallen",1.6,7,87.3,3.9,4100
"01051125","Welmbüttel",35.4,8.6,42.4,3.5,1531
"01051131","Westerborstel",0.4,5.8,90.9,2.4,2544
"01051133","Wiemerstedt",7.2,6.1,84.2,3.3,2061
"01051136","Wrohm",0.9,10.9,84.9,4.7,1763
"01051139","Süderdorf",4.5,6.6,87.4,3.4,3094
"01051141","Süderheistedt",2.9,9.5,86.1,3.1,1494
"01051048","Hemmingstedt",0.3,21.7,73.1,6.2,1209
"01051067","Lieth",1.2,26.1,69.7,3.5,3271
"01051069","Lohe-Rickelshof",1.5,26.8,68.1,8.3,689
"01051075","Neuenkirchen",0.1,8,88.8,3.7,2128
"01051081","Norderwöhrden",0.3,7.4,90.2,4.3,5346
"01051082","Nordhastedt",9.8,12.4,63.1,5.2,1168
"01051087","Ostrohe",9.4,15.2,65.2,4.8,1107
"01051107","Stelle-Wittenwurth",0.5,9.4,80.6,5.5,2435
"01051113","Wöhrden",0,9.7,87.3,4.4,1671
"01051122","Weddingstedt",8.6,14.6,73.5,5.5,1130
"01051130","Wesseln",0.4,27.9,69.2,5.7,732
"01051001","Albersdorf",14.7,19.7,62.7,5.7,909
"01051002","Arkebek",24.7,9.2,64.5,5.3,2864
"01051004","Bargenstedt",5,10.9,81.1,3.9,1353
"01051006","Barlt",4,6.5,76,2.6,1983
"01051015","Bunsoh",16.6,13,66.4,3.8,1970
"01051017","Busenwurth",0,6,63.8,2.6,1950
"01051027","Elpersbüttel",1.4,5.7,58.8,2.6,2047
"01051028","Epenwöhrden",0.1,8.1,88.4,3.8,1438
"01051039","Gudendorf",18,11.9,68.7,4,1842
"01051054","Immenstedt",0.2,8.5,90.1,4,2695
"01051063","Krumstedt",12.6,7.3,75.2,3.4,2467
"01051074","Meldorf",0.4,23.6,63.3,5.8,692
"01051078","Nindorf",3.6,14.3,78,4.5,1085
"01051083","Odderade",31.9,5.8,57.5,2.6,2038
"01051085","Offenbüttel",3.4,5.7,80.6,2.9,3158
"01051086","Osterrade",3.4,6.1,86.4,2.8,2515
"01051098","Sarzbüttel",11.6,8.4,72.7,3.2,1623
"01051099","Schafstedt",6.7,13.3,76,6,1939
"01051104","Schrum",8.1,5,78.2,3.2,3469
"01051126","Wennbüttel",22.4,6.5,64.8,3.5,3561
"01051134","Windbergen",3.8,8.3,81.3,3.5,1823
"01051135","Wolmersdorf",3.2,8.5,83.4,2.8,1643
"01051137","Nordermeldorf",0.1,5.7,87.2,3.1,3205
"01051138","Tensbüttel-Röst",9.6,11.1,72.2,6.3,3207
"01051013","Büsum",0.1,41.1,49,9.9,710
"01051014","Büsumer Deichhausen",0.5,13.2,84.2,4.8,1054
"01051033","Friedrichsgabekoog",0.1,8.2,86.1,2.7,13278
"01051043","Hedwigenkoog",0.1,5,85.8,2.7,3831
"01051045","Hellschen-Heringsand-Unterschaar",0,6.3,90.4,2.7,2654
"01051050","Hillgroven",0,7.2,90.7,3.4,4482
"01051079","Norddeich",0,9.1,89.3,4.1,1582
"01051084","Oesterdeichstrich",0,11.7,85.8,6.6,1970
"01051093","Reinsbüttel",0.1,8.2,88.5,3.5,1450
"01051105","Schülp",0,9.4,87.3,3.4,2210
"01051108","Strübbel",0,7,90.6,3.4,3618
"01051109","Süderdeich",0.4,9.4,87.4,3.7,1318
"01051121","Warwerort",0,14.8,71,3.7,2883
"01051127","Wesselburen",0.5,35,61.8,7.1,526
"01051128","Wesselburener Deichhausen",0,6.5,89.1,3.3,3155
"01051129","Wesselburenerkoog",0,4.1,68.5,2,5000
"01051132","Westerdeichstrich",0,12.4,83.1,3.6,1065
"01051140","Oesterwurth",0,6.9,91.1,3.3,3929
"01053032","Geesthacht",23.4,38.2,28.9,7.5,413
"01053083","Lauenburg/Elbe",3.4,47.8,34.9,9.8,400
"01053090","Mölln",50.8,31.2,10.3,7.4,408
"01053100","Ratzeburg",12.1,20.8,12,4.6,434
"01053116","Schwarzenbek",27.4,49.3,22.2,10.3,344
"01053129","Wentorf bei Hamburg",10.8,77.3,10.8,11.2,395
"01053008","Behlendorf",19.2,6.4,66,2.9,1733
"01053009","Berkenthin",5.8,16,75,6.2,787
"01053011","Bliestorf",35.9,7.4,54.9,3.2,1149
"01053024","Düchelsdorf",4.8,5.7,89,1.9,1038
"01053034","Göldenitz",5.5,5.9,87.1,3,1326
"01053061","Kastorf",3.5,14.5,80.7,3.7,905
"01053067","Klempau",9.9,8.8,78,3.6,1449
"01053075","Krummesse",5.7,26,65.2,5.3,508
"01053094","Niendorf bei Berkenthin",12.1,8.5,76.9,4.7,1733
"01053103","Rondeshagen",7.9,10.5,80.8,2.6,1224
"01053120","Sierksrade",6,8.6,84.5,2.9,799
"01053002","Alt Mölln",12,18.9,66.4,8.5,1437
"01053005","Bälau",21.7,6.1,71.4,2.7,1734
"01053013","Borstorf",55.8,5.6,37.4,3,1599
"01053014","Breitenfelde",4,13.6,81,4.2,874
"01053037","Grambek",61.8,14.3,17.1,6,3670
"01053056","Hornbek",27,11.3,55.8,7.5,3528
"01053084","Lehmrade",38.7,8,43.5,4.6,1528
"01053095","Niendorf/Stecknitz",19.1,7.4,73.1,2.6,957
"01053113","Schretstaken",25.2,6.5,68,2.5,1125
"01053125","Talkau",19.3,10,70,4.1,948
"01053134","Woltersdorf",16.5,8,72,4.1,2081
"01053010","Besenthal",39.3,6.6,53.2,5.4,9024
"01053015","Bröthen",36.4,5.6,55.8,3.4,1911
"01053020","Büchen",13.1,26,52.9,8.1,719
"01053029","Fitzen",20.7,7.8,64.5,3.5,1958
"01053035","Göttin",28.2,8,60.7,5.9,6382
"01053046","Gudow",40.7,6.8,45.3,3.7,1712
"01053048","Güster",16,21,41.8,5,1257
"01053064","Klein Pampau",14,13.4,71.5,3.7,863
"01053080","Langenlehsten",65.2,4,28.6,3.1,6368
"01053092","Müssen",14.2,11.2,71.9,4.5,1105
"01053104","Roseburg",41.3,6.1,50.7,3.2,1864
"01053115","Schulendorf",18.7,6.5,73.6,3.5,1647
"01053119","Siebeneichen",6.1,9.9,81.9,5.5,1850
"01053126","Tramm",35.6,8.8,53.5,5,1710
"01053132","Witzeeze",15.1,10.2,68.4,4.5,1176
"01053003","Aumühle",33.2,59.6,5.7,11.5,634
"01053012","Börnsen",19.4,26.7,53.2,6.8,468
"01053023","Dassendorf",6.1,28,64.7,5.3,653
"01053028","Escheburg",11.9,26.9,58.3,6.5,693
"01053050","Hamwarde",15.3,10.1,73.1,3.8,779
"01053053","Hohenhorn",4.4,9.5,84.9,3.2,1213
"01053072","Kröppelshagen-Fahrendorf",28.7,11.8,58.8,4.8,746
"01053131","Wiershop",4.4,12.4,81.2,3.5,3126
"01053133","Wohltorf",27.9,32.9,37.7,7.6,819
"01053135","Worth",5.9,6.1,87.4,2.8,1946
"01053006","Basedow",11.8,9.1,75.1,3.7,1042
"01053019","Buchhorst",17.2,8.9,65,3.9,3317
"01053022","Dalldorf",11.1,10.9,70.5,6.4,1891
"01053058","Juliusburg",15.2,5.6,78,3.5,1994
"01053073","Krüzen",8.1,7.6,82.8,4.4,1814
"01053074","Krukow",21,5.5,72.3,3.4,2866
"01053082","Lanze",2.2,6.2,83.2,3.6,1952
"01053087","Lütau",12.3,6.9,80.1,3,1096
"01053111","Schnakenbek",49.8,7.7,30.2,3.1,1150
"01053128","Wangelau",10.6,5.8,82.5,2.8,1703
"01053001","Albsfelde",61,2.8,36.1,1.5,1659
"01053004","Bäk",25.9,13.5,59.5,3.6,655
"01053016","Brunsmark",69.3,6.4,24,3.9,1761
"01053018","Buchholz",10.8,18,69.8,9.2,2190
"01053026","Einhaus",5.6,14.9,78.8,7.2,897
"01053030","Fredeburg",76.3,3.9,19.4,3.2,9598
"01053033","Giesensdorf",3.5,6.6,88.9,3.4,1203
"01053040","Groß Disnack",54.9,6,37.5,4.7,4275
"01053041","Groß Grönau",11.9,33.4,51.9,7.1,434
"01053043","Groß Sarau",11.8,12.8,71.7,8.2,2164
"01053051","Harmsdorf",12.3,9.3,76.4,4.6,1018
"01053054","Hollenbek",5.1,7.7,86.3,3.5,1286
"01053057","Horst",25.1,5.3,66.6,2.7,3086
"01053062","Kittlitz",22.3,3.9,62.4,1.8,2739
"01053066","Klein Zecher",8.7,5.3,84.9,2.1,2039
"01053078","Kulpin",6.1,5,87.8,2.2,1521
"01053088","Mechow",2.3,5.6,90.5,2.3,1962
"01053093","Mustin",12.2,6.7,74.4,2.6,1081
"01053098","Pogeez",9.9,14.5,73.4,7.7,1316
"01053102","Römnitz",29.4,4.5,63.5,1.8,3993
"01053107","Salem",36.2,6.9,48,2.9,2715
"01053110","Schmilau",21.1,9.5,66.8,4.8,1952
"01053117","Seedorf",22.4,3.7,41,1.3,2052
"01053123","Sterley",28,6.9,63.3,3.2,1593
"01053136","Ziethen",28.9,8.4,57.2,3.5,831
"01053007","Basthorst",32.3,6.3,60.3,3.7,1633
"01053017","Brunstorf",19.5,14.6,65.4,3.4,2713
"01053021","Dahmker",3.5,11.2,84.7,4,1646
"01053027","Elmenhorst",22.6,17.3,56.7,4.6,2669
"01053031","Fuhlenhagen",9,9.8,80.4,5.1,1456
"01053036","Grabau",6.7,10.9,80.2,5.1,1277
"01053042","Groß Pampau",7.8,5.9,78.6,2.7,1710
"01053045","Grove",8.1,7.6,83.6,3.8,1706
"01053047","Gülzow",32.7,6.9,59.6,2.7,896
"01053049","Hamfelde",11.9,12.4,70.9,4.5,861
"01053052","Havekost",8.6,6.9,83.4,4.7,2232
"01053059","Kankelau",4.2,8.6,85.9,4.5,1623
"01053060","Kasseburg",16.3,11,71.8,7,1504
"01053070","Köthel",6.8,16.4,72.7,4.2,951
"01053071","Kollow",15.4,7.3,76.6,2.6,982
"01053076","Kuddewörde",7.4,15,76,5.4,803
"01053089","Möhnsen",8.2,10.8,79.4,5.8,1507
"01053091","Mühlenrade",8.1,8,82.7,3.8,1695
"01053106","Sahms",7.2,7.5,81.8,3.5,1105
"01053025","Duvensee",19.2,6.3,72.4,2.8,1418
"01053038","Grinau",6.8,9.1,83.3,2.8,840
"01053039","Groß Boden",0.8,9.2,88.3,4.5,1193
"01053044","Groß Schenkenberg",5.8,8.6,83.8,2.9,985
"01053068","Klinkrade",1.5,7.4,90.2,3.3,906
"01053069","Koberg",35.9,6.2,56,2.5,950
"01053077","Kühsen",11.7,7.2,78.5,3.9,1393
"01053079","Labenz",0.7,12.2,86.1,3.5,824
"01053081","Lankau",32.9,5.7,56.6,3.4,2334
"01053085","Linau",4.4,10.3,82.3,3.2,791
"01053086","Lüchow",1.2,5.9,92,2.4,992
"01053096","Nusse",7.4,14.1,76.2,4.6,773
"01053097","Panten",9.5,7,78.9,3,1479
"01053099","Poggensee",24.7,6.7,67.6,3.6,1033
"01053101","Ritzerau",40.2,4.4,51.3,2.2,1662
"01053108","Sandesneben",0.5,16.8,82.3,3.8,555
"01053109","Schiphorst",8.5,6.8,84.4,2.6,863
"01053112","Schönberg",31.1,8.2,59.1,2.6,891
"01053114","Schürensöhlen",4.2,7.8,86.6,3.3,1359
"01053118","Siebenbäumen",2.9,7.7,88.4,3,1120
"01053121","Sirksfelde",41.8,4.8,47.7,2.7,1216
"01053122","Steinhorst",35.7,4.1,58.4,1.7,1209
"01053124","Stubben",0.9,9.1,89.5,2.9,1261
"01053127","Walksfelde",4.7,5.8,89.2,1.8,869
"01053130","Wentorf (Amt Sandesneben)",0.7,12.4,84.8,3.5,845
"01053105","Sachsenwald",93.7,4.3,1.7,4.2,0
"01054033","Friedrichstadt",0.3,39.7,38.7,9.7,603
"01054056","Husum",4.6,50.5,40,11.3,562
"01054108","Reußenköge",0,4.7,77.9,2.5,6672
"01054138","Tönning",7,10,60.3,3.7,895
"01054168","Sylt",1.7,30.3,39,14.1,1270
"01054035","Garding, Kirchspiel",0.8,6.1,91.7,2.7,3262
"01054036","Garding",0.7,50.3,48.2,9.4,546
"01054040","Grothusenkoog",0,5.9,91,2.9,9187
"01054063","Katharinenheerd",0.1,4.7,94,2.6,2242
"01054072","Kotzenbüll",0,6.5,91.2,3.2,2526
"01054090","Norderfriedrichskoog",0,6,91.6,3.3,8031
"01054095","Oldenswort",0.1,5.3,90.2,2.5,1952
"01054100","Osterhever",0.1,5.7,92.3,2.5,5196
"01054104","Poppenbüll",0.1,5.6,92.9,2.6,3775
"01054113","Sankt Peter-Ording",2.4,19.7,55.6,4.9,1399
"01054134","Tating",0.1,7.7,87.3,3.3,2382
"01054135","Tetenbüll",0,5.4,91.5,2.5,3332
"01054140","Tümlauer Koog",0,7,88.3,2.8,4083
"01054145","Vollerwiek",0.3,10.9,87.7,2.9,2290
"01054148","Welt",0.1,8.3,89.6,4.2,3454
"01054150","Westerhever",0,5.2,87.7,2.4,7392
"01054046","Hörnum (Sylt)",0,28.5,0.1,5.1,1803
"01054061","Kampen (Sylt)",5.5,24,11.4,5.7,4389
"01054078","List",0.2,12,5.8,3.2,1482
"01054149","Wenningstedt-Braderup (Sylt)",1,48.3,22.3,7,1881
"01054003","Ahrenviöl",0.4,7.7,90.1,3,1499
"01054004","Ahrenviölfeld",1.5,7.6,81.4,4.1,2518
"01054011","Behrendorf",0.7,7.3,90.3,3.5,2025
"01054013","Bondelum",5.2,5.7,87.2,3.3,3337
"01054041","Haselund",0.7,10.1,85.3,3.9,1462
"01054057","Immenstedt",10.7,6.4,73.4,3.4,1478
"01054079","Löwenstedt",7.2,9.9,77.3,4.1,2890
"01054092","Norstedt",8.8,6.2,84.2,3.2,2045
"01054101","Oster-Ohrstedt",11.1,10.4,77.7,4.6,1859
"01054118","Schwesing",7.8,12,69.7,4.1,1957
"01054123","Sollwitt",9.2,6.8,80.6,3.6,2599
"01054144","Viöl",0.9,11.2,84.7,4.1,958
"01054152","Wester-Ohrstedt",17.7,7.9,73.3,3.6,1415
"01054039","Gröde",0,0.5,74.5,0.1,1204
"01054050","Hallig Hooge",0,4.4,88.1,2.3,2452
"01054074","Langeneß",0,4,86.4,1.7,3360
"01054103","Pellworm",0,6.8,87.8,2.4,2175
"01054005","Alkersum",0.2,9,87.4,4.4,2086
"01054015","Borgsum",0.7,10.5,85.6,4.4,1726
"01054025","Dunsum",1.5,8.7,82.3,4.5,3660
"01054083","Midlum",0.2,7,82.8,3.7,1390
"01054085","Nebel",12.5,13.5,34,3.3,1777
"01054087","Nieblum",7.4,22.3,64.5,5.9,3077
"01054089","Norddorf auf Amrum",4.2,10.6,20.8,3.1,1096
"01054094","Oevenum",1.3,7.3,86,3.9,1685
"01054098","Oldsum",0.4,8,83.7,4.5,2120
"01054129","Süderende",2.1,13.2,82.4,4.7,1815
"01054143","Utersum",5.3,14.4,72.7,4.9,1904
"01054158","Witsum",2,11.2,74.4,4,3698
"01054160","Wittdün auf Amrum",3.4,21.4,4,7.1,708
"01054163","Wrixum",6.5,9.3,80.7,4.4,1156
"01054164","Wyk auf Föhr",4.2,38.3,48.3,10.9,733
"01054001","Achtrup",1.9,8.4,87.5,3.4,1640
"01054009","Aventoft",9.4,6.8,71.8,3.1,2215
"01054016","Bosbüll",0.2,8.5,89.2,4,2154
"01054017","Braderup",10.5,9,77.2,3.8,1803
"01054018","Bramstedtlund",3.1,9.2,84.9,3.1,5758
"01054022","Dagebüll",0,7.9,78.7,4.5,3287
"01054027","Ellhöft",1.6,5.9,89.6,3.3,4093
"01054034","Friedrich-Wilhelm-Lübke-Koog",0,7,88.5,3.1,5278
"01054048","Holm",1.6,6.9,88.8,3.6,3047
"01054055","Humptrup",4.6,9.2,78.8,3.9,2062
"01054062","Karlum",29.6,7.6,61,5.1,5200
"01054065","Klanxbüll",0.7,15.5,81.3,7.4,1686
"01054068","Klixbüll",0.6,11.1,86.1,5.6,1934
"01054073","Ladelund",4.6,9.3,82.4,3.1,1679
"01054076","Leck",15.5,26.2,54.5,13.5,1024
"01054077","Lexgaard",18.2,3.5,75,2.1,3520
"01054086","Neukirchen",1.7,8.1,77.1,3.8,2260
"01054088","Niebüll",0.8,23.5,69.3,6.9,719
"01054109","Risum-Lindholm",0.7,13.7,81.9,5.2,1304
"01054110","Rodenäs",0.1,6,81.4,3,2921
"01054124","Sprakebüll",9.7,6.4,81.6,3.1,2833
"01054125","Stadum",17.2,12.2,69.1,4.2,2505
"01054126","Stedesand",0.1,9.1,86.7,4,1610
"01054131","Süderlügum",22.5,13.6,57.4,5.5,1495
"01054136","Tinningstedt",4.8,12,81.4,8.9,4338
"01054142","Uphusum",2.3,9.2,79.7,4.8,1810
"01054154","Westre",14.1,6.7,75.9,3.5,3592
"01054165","Galmsbüll",0.1,4.8,92.9,2.8,3829
"01054166","Emmelsbüll-Horsbüll",0.2,8.5,86.8,3.9,3432
"01054167","Enge-Sande",10.7,10,72.8,3.6,2222
"01054007","Arlewatt",0.6,8.4,82.4,2.7,1407
"01054023","Drage",0.6,5.4,81.8,2,1372
"01054026","Elisabeth-Sophien-Koog",0,5.7,89.5,2.8,5986
"01054032","Fresendelf",4.3,9.3,80.9,3.8,2733
"01054042","Hattstedt",3.8,25.2,69.7,7.3,691
"01054043","Hattstedtermarsch",0,3.1,61.2,1.8,4086
"01054052","Horstedt",4.3,10.9,74.7,4.9,1590
"01054054","Hude",3.6,10.4,81.7,3.8,2014
"01054070","Koldenbüttel",0,4.9,89.2,2.2,1418
"01054084","Mildstedt",7.7,26.1,64.6,6.4,579
"01054091","Nordstrand",0,6.4,70.9,2.4,1622
"01054096","Oldersbek",1,9.3,87.8,4.4,1366
"01054097","Olderup",0.6,8.7,87.3,3.4,1872
"01054099","Ostenfeld (Husum)",14.3,7.5,75.7,3.2,1370
"01054105","Ramstedt",4.1,10.4,82.4,3.6,1366
"01054106","Rantrum",1.9,13.7,82.7,5.2,999
"01054116","Schwabstedt",7.9,7.6,63.4,3.4,1104
"01054119","Seeth",0.5,13.6,77.1,3.6,2445
"01054120","Simonsberg",0,8.8,84.3,2.8,1875
"01054130","Süderhöft",6.6,7,75.7,4.7,14015
"01054132","Südermarsch",0.9,5.8,84.7,4.9,12273
"01054141","Uelvesbüll",0.1,6.5,91.4,2.7,2220
"01054156","Winnert",3.1,6.3,86.7,2.9,1643
"01054157","Wisch",2.3,7.6,86.8,4.1,2056
"01054159","Wittbek",5.2,6.5,86.8,3.1,1695
"01054161","Witzwort",0.1,6.6,91,3.2,1810
"01054162","Wobbenbüll",2.1,24.1,73.1,4.8,954
"01054002","Ahrenshöft",3.5,12.4,75,3.9,2119
"01054006","Almdorf",1.4,11.1,84.7,5.3,1169
"01054010","Bargum",7.1,13.6,75.5,4.4,3794
"01054012","Bohmstedt",13,9.1,75.5,4.6,1607
"01054014","Bordelum",6.4,10.2,80.5,4.7,1767
"01054019","Bredstedt",7,34.3,56,8.5,604
"01054020","Breklum",2,21.6,74.9,6.5,932
"01054024","Drelsdorf",12.5,10.1,76,4.2,1418
"01054037","Goldebek",2.3,7.1,89.4,3.5,2012
"01054038","Goldelund",3.7,7.8,86.6,4,2256
"01054045","Högel",4.1,6.3,87.7,3.3,2194
"01054059","Joldelund",4.8,7.5,86.6,3.6,1971
"01054071","Kolkerheide",3.4,7.3,87.7,2.9,2432
"01054075","Langenhorn",6.2,11.8,78.2,4.8,1701
"01054080","Lütjenholm",20.8,6.8,69.9,3.6,2157
"01054093","Ockholm",0,6.1,67.7,3.6,3687
"01054121","Sönnebüll",0.5,10.3,84.7,4.7,1572
"01054128","Struckum",0.2,13.2,84.1,5.4,1142
"01054146","Vollstedt",1.4,8.1,89.9,4.7,2731
"01055001","Ahrensbök",11.7,7.5,76.6,2.6,864
"01055004","Bad Schwartau",10.1,37.3,49.7,8.6,342
"01055007","Bosau",7.8,6.9,83.1,2.4,1301
"01055010","Dahme",12,17.9,63.5,4.8,1331
"01055012","Eutin",22.1,23,39.5,5.8,559
"01055016","Grömitz",6.9,14.8,75.9,3.5,1055
"01055018","Grube",2.8,9.1,84.3,3.5,1754
"01055021","Heiligenhafen",0.7,28.4,46.4,8.2,570
"01055025","Kellenhusen (Ostsee)",55.8,16.5,25.9,4.9,1198
"01055028","Malente",21.5,11.5,50.3,3.2,733
"01055032","Neustadt in Holstein",2.4,41.2,43,9,541
"01055033","Oldenburg in Holstein",1.3,20.6,53.7,5.3,834
"01055035","Ratekau",16.4,17.3,61.7,5.8,682
"01055040","Stockelsdorf",2.1,16.2,80.1,4.3,541
"01055041","Süsel",9.1,8.7,75.9,2.9,1297
"01055042","Timmendorfer Strand",8.5,24.7,38.6,5.8,571
"01055044","Scharbeutz",11.8,18.2,62.8,5.6,841
"01055046","Fehmarn",0.6,9.7,81.6,3.5,1419
"01055014","Göhl",2.6,6.4,88.1,1.7,1215
"01055015","Gremersdorf",2,7,83.7,3,2119
"01055017","Großenbrode",2,14.9,75.5,5.3,1432
"01055022","Heringsdorf (Holstein)",5,6.9,86.8,2.4,1834
"01055031","Neukirchen",2.1,8.8,84.4,2.4,2161
"01055043","Wangels",14.4,6.5,73.9,2.4,2036
"01055006","Beschendorf",2.3,10.3,85.6,5.4,1681
"01055011","Damlos",30.3,9.2,60.1,5,1381
"01055020","Harmsdorf",24.4,4.2,69.3,1.3,1140
"01055023","Kabelhorst",1.8,8.8,88.9,3.8,1186
"01055027","Lensahn",10.7,13.1,74.7,3.9,734
"01055029","Manhagen",23.9,5.7,69.9,2.4,1449
"01055036","Riepsdorf",2.5,6.1,90.1,2.5,1720
"01055002","Altenkrempe",16.9,6.3,73.2,2.6,2080
"01055024","Kasseedorf",29,6.7,57.8,2.3,1586
"01055037","Schashagen",4.6,11.1,83.1,3.7,2161
"01055038","Schönwalde am Bungsberg",20.5,6.7,70.4,2.3,1001
"01055039","Sierksdorf",10.8,15.7,71.1,6.8,1940
"01056002","Barmstedt",20,24.4,53.4,5.7,404
"01056005","Bönningstedt",10.5,22.8,63.3,5.5,607
"01056015","Elmshorn",5.2,71.1,20.5,13.8,304
"01056018","Halstenbek",0.3,44.8,50.3,9.9,314
"01056021","Hasloh",5,18,65.6,6,531
"01056025","Helgoland",0.1,16.6,0.9,5.5,534
"01056039","Pinneberg",6.4,57.6,32.7,11.8,284
"01056041","Quickborn",13.9,26.4,49.4,6.3,535
"01056043","Rellingen",2.2,49.4,45.6,9.7,453
"01056044","Schenefeld, Stadt",1.4,53.9,40.3,10.6,279
"01056048","Tornesch",12.1,33.1,51.3,8.9,485
"01056049","Uetersen",3.2,52.6,41.4,8.5,324
"01056050","Wedel",10.1,28.8,38.6,5.6,289
"01056029","Klein Nordende",7.2,18.5,67.3,5.1,599
"01056030","Klein Offenseth-Sparrieshoop",1.6,16.4,77.8,6.3,895
"01056031","Kölln-Reisiek",6.1,24.4,66.3,6.5,484
"01056033","Seester",0.7,8.2,86.9,2.5,937
"01056042","Raa-Besenbek",0,6.8,90.2,2.1,1631
"01056045","Seestermühe",2.8,4.3,48.7,1.4,1109
"01056046","Seeth-Ekholt",2.1,13.8,78.8,5.9,1091
"01056006","Bokel",2.2,6.7,88.1,2.9,1769
"01056010","Brande-Hörnerkirchen",1.3,11.4,83.8,4.2,919
"01056038","Osterhorn",0.5,9.9,87.4,5,1506
"01056051","Westerhorn",3.4,12.1,77.4,4.3,855
"01056003","Bevern",0.8,10,86.9,4.2,1391
"01056004","Bilsen",4,12.2,82.8,4.2,933
"01056008","Bokholt-Hanredder",9.1,15.2,73.6,5.8,1037
"01056011","Bullenkuhlen",0.6,10,87.4,4.1,1014
"01056014","Ellerhoop",5.7,13.9,78.3,4.5,991
"01056017","Groß Offenseth-Aspern",12.9,7,77,3.7,1720
"01056022","Heede",23.9,8.2,65.9,3.7,1713
"01056026","Hemdingen",8.5,10.6,77.5,4.2,1029
"01056034","Langeln",3.7,9.2,82.1,4.6,1580
"01056035","Lutzhorn",15.5,9.4,73.3,3.5,2651
"01056009","Borstel-Hohenraden",7.6,14.1,71.4,4.3,832
"01056013","Ellerbek",1.6,26.1,68.8,5.5,560
"01056032","Kummerfeld",17.2,22.1,56.7,6.7,611
